Team,GP,Actual,M1,M2,M3,Passivity,Anticipation,Delta,Potential,Luck
ZuPacalypse Now,22,145.5,157.0,150.0,153.0,+4.0,+3.0,7.0,-11.5,-7.5
johqui1092,21,132.0,151.0,132.0,133.3,+17.7,+1.3,19.0,-19.0,-1.3
Kawhi-tly Planting Trees,22,123.0,145.0,119.0,116.8,+28.2,-2.2,26.0,-22.0,+6.2
French Wembassy,22,120.0,138.0,110.0,107.5,+30.5,-2.5,28.0,-18.0,+12.5
Minotts Restriction,21,117.5,127.0,94.0,92.2,+34.8,-1.8,33.0,-9.5,+25.2
Streakbreaker,22,116.0,134.0,92.0,92.4,+41.6,+0.4,42.0,-18.0,+23.6
Kevin's Burning Bridges,21,110.0,147.0,109.0,107.0,+40.0,-2.0,38.0,-37.0,+3.0
dbyun89,21,89.5,111.0,41.0,41.0,+70.0,+0.0,70.0,-21.5,+48.5
Teenage Mutant Ninja Poetls,20,86.0,123.0,95.0,94.2,+28.8,-0.8,28.0,-37.0,-8.2
Trusting the Process,20,86.0,122.0,90.0,95.0,+27.0,+5.0,32.0,-36.0,-9.0
Clingan On,20,73.0,130.0,112.0,112.0,+18.0,+0.0,18.0,-57.0,-39.0
Good Night and Good Luka,20,72.5,115.0,72.0,73.3,+41.7,+1.3,43.0,-42.5,-0.8
kashmoney387,20,72.5,115.0,75.0,76.0,+39.0,+1.0,40.0,-42.5,-3.5
Nico’s revenge,20,53.0,119.0,79.0,79.0,+40.0,+0.0,40.0,-66.0,-26.0
Testicular Injury Reserve,20,52.0,110.0,79.0,81.0,+29.0,+2.0,31.0,-58.0,-29.0
Ant-ticpating wins,20,45.5,83.0,45.0,44.0,+39.0,-1.0,38.0,-37.5,+1.5
